Epoch number,Elapsed Time
0,63.8597
1,63.7305
2,63.5016
3,63.5499
4,63.3140
5,63.3144
6,63.2533
7,63.0547
8,63.0793
9,63.0017
10,63.0349
11,62.9659
12,62.8008
13,62.9602
14,62.8582
15,62.9139
16,62.9201
17,62.7870
18,62.8877
19,62.8499
20,62.8414
21,62.8981
22,62.6609
23,62.7589
24,62.7742
25,62.8231
26,62.8099
27,62.6605
28,62.6980
29,62.8136
30,62.7786
31,62.7525
32,62.6197
33,62.6705
34,62.7245
35,62.7375
36,62.7167
37,62.6084
38,62.6660
39,62.7198
40,62.7299
41,62.6737
42,62.5006
43,62.6028
44,62.6470
45,62.6944
46,62.6627
47,62.5255
48,62.5736
49,62.6580
50,62.6084
51,62.6298
52,62.4658
53,62.5642
54,62.5564
55,62.6803
56,62.5981
57,62.4008
58,62.5125
59,62.5832
60,62.5687
61,62.6501
62,62.3919
63,62.5819
64,62.5725
65,62.5869
66,62.5545
67,62.3599
68,62.5436
69,62.5761
70,62.5752
71,62.5851
72,62.2915
73,62.5594
74,62.5425
75,62.5552
76,62.5209
77,62.3360
78,62.4889
79,62.5468
80,62.5015
81,70.6606
82,62.4706
83,62.5319
84,62.5075
85,62.5452
86,62.4451
87,62.5022
88,62.5947
89,62.6463
90,62.5762
91,62.3948
92,62.5041
93,62.5809
94,62.5387
95,62.5665
96,62.3528
97,62.6075
98,62.4970
99,62.5105
